AthleteID,Name,Country,Sport,Age
1,Athlete 1,USA,Tennis,26
2,Athlete 2,Russia,Swimming,19
3,Athlete 3,Kenya,Volleyball,24
4,Athlete 4,China,Athletics,36
5,Athlete 5,Brazil,Volleyball,34
6,Athlete 6,Russia,Gymnastics,38
7,Athlete 7,Germany,Cycling,38
8,Athlete 8,Russia,Tennis,40
9,Athlete 9,Russia,Swimming,39
10,Athlete 10,UK,Cycling,21
11,Athlete 11,UK,Swimming,29
12,Athlete 12,Kenya,Basketball,34
13,Athlete 13,Brazil,Tennis,21
14,Athlete 14,Australia,Athletics,28
15,Athlete 15,UK,Tennis,22
16,Athlete 16,Australia,Cycling,34
17,Athlete 17,UK,Athletics,35
18,Athlete 18,Japan,Gymnastics,25
19,Athlete 19,France,Tennis,23
20,Athlete 20,China,Football,27
21,Athlete 21,Japan,Athletics,33
22,Athlete 22,Brazil,Volleyball,39
23,Athlete 23,Germany,Basketball,38
24,Athlete 24,Japan,Volleyball,29
25,Athlete 25,Germany,Tennis,21
26,Athlete 26,Australia,Tennis,22
27,Athlete 27,China,Tennis,32
28,Athlete 28,France,Tennis,25
29,Athlete 29,UK,Swimming,26
30,Athlete 30,Japan,Volleyball,24
31,Athlete 31,Brazil,Football,34
32,Athlete 32,France,Gymnastics,21
33,Athlete 33,USA,Cycling,21
34,Athlete 34,Brazil,Swimming,29
35,Athlete 35,Brazil,Tennis,22
36,Athlete 36,Japan,Volleyball,39
37,Athlete 37,France,Gymnastics,33
38,Athlete 38,USA,Tennis,34
39,Athlete 39,France,Volleyball,23
40,Athlete 40,Japan,Gymnastics,32
41,Athlete 41,Russia,Football,22
42,Athlete 42,France,Tennis,36
43,Athlete 43,UK,Gymnastics,20
44,Athlete 44,France,Tennis,21
45,Athlete 45,Russia,Tennis,32
46,Athlete 46,USA,Tennis,22
47,Athlete 47,Japan,Swimming,34
48,Athlete 48,Japan,Swimming,22
49,Athlete 49,UK,Cycling,18
50,Athlete 50,USA,Volleyball,36
51,Athlete 51,Australia,Basketball,32
52,Athlete 52,Kenya,Cycling,21
53,Athlete 53,Australia,Cycling,26
54,Athlete 54,France,Swimming,28
55,Athlete 55,Kenya,Volleyball,37
56,Athlete 56,USA,Basketball,32
57,Athlete 57,UK,Cycling,38
58,Athlete 58,Kenya,Cycling,28
59,Athlete 59,China,Gymnastics,37
60,Athlete 60,China,Football,36
61,Athlete 61,China,Cycling,32
62,Athlete 62,Brazil,Tennis,28
63,Athlete 63,China,Athletics,37
64,Athlete 64,China,Gymnastics,18
65,Athlete 65,Brazil,Volleyball,23
66,Athlete 66,USA,Tennis,21
67,Athlete 67,Australia,Swimming,30
68,Athlete 68,Russia,Swimming,22
69,Athlete 69,UK,Football,20
70,Athlete 70,China,Volleyball,18
71,Athlete 71,Germany,Basketball,18
72,Athlete 72,Kenya,Tennis,34
73,Athlete 73,Brazil,Gymnastics,22
74,Athlete 74,Australia,Volleyball,38
75,Athlete 75,USA,Volleyball,40
76,Athlete 76,Australia,Athletics,22
77,Athlete 77,Kenya,Tennis,35
78,Athlete 78,Germany,Swimming,34
79,Athlete 79,UK,Gymnastics,30
80,Athlete 80,UK,Tennis,25
81,Athlete 81,Brazil,Cycling,23
82,Athlete 82,Brazil,Football,20
83,Athlete 83,Australia,Swimming,19
84,Athlete 84,UK,Cycling,31
85,Athlete 85,Brazil,Volleyball,29
86,Athlete 86,Australia,Tennis,28
87,Athlete 87,China,Gymnastics,40
88,Athlete 88,Japan,Basketball,21
89,Athlete 89,Germany,Football,27
90,Athlete 90,France,Football,40
91,Athlete 91,Kenya,Basketball,30
92,Athlete 92,China,Volleyball,38
93,Athlete 93,China,Football,18
94,Athlete 94,UK,Athletics,40
95,Athlete 95,Brazil,Football,24
96,Athlete 96,Germany,Athletics,22
97,Athlete 97,France,Gymnastics,30
98,Athlete 98,UK,Athletics,33
99,Athlete 99,China,Cycling,19
100,Athlete 100,Kenya,Basketball,38
101,Athlete 101,Germany,Cycling,39
102,Athlete 102,Germany,Tennis,19
103,Athlete 103,Australia,Football,20
104,Athlete 104,Germany,Cycling,27
105,Athlete 105,France,Basketball,23
106,Athlete 106,Germany,Athletics,26
107,Athlete 107,France,Swimming,32
108,Athlete 108,USA,Athletics,20
109,Athlete 109,Kenya,Basketball,38
110,Athlete 110,China,Gymnastics,24
111,Athlete 111,Russia,Tennis,25
112,Athlete 112,USA,Basketball,19
113,Athlete 113,France,Basketball,18
