MedalID,EventID,AthleteID,Medal
1,16,154,Bronze
2,65,11,Gold
3,3,113,Gold
4,82,154,Silver
5,25,195,Gold
6,4,88,Gold
7,40,104,Gold
8,35,70,Bronze
9,95,53,Gold
10,100,41,Silver
11,51,20,Silver
12,27,65,Gold
13,19,61,Gold
14,75,110,Gold
15,77,174,Silver
16,39,22,Gold
17,3,11,Silver
18,97,100,Bronze
19,44,99,Bronze
20,61,50,Gold
21,90,128,Bronze
22,29,95,Bronze
23,98,68,Gold
24,100,151,Silver
25,74,148,Bronze
26,66,126,Silver
27,72,84,Silver
28,3,114,Gold
29,69,165,Bronze
30,16,197,Silver
31,41,179,Silver
32,58,33,Silver
33,76,81,Bronze
34,12,3,Gold
35,76,131,Silver
36,13,160,Silver
37,66,137,Silver
38,26,109,Gold
39,27,91,Silver
40,44,108,Bronze
41,52,44,Bronze
42,31,55,Gold
43,53,154,Gold
44,48,192,Silver
45,27,3,Silver
46,37,54,Gold
47,87,143,Silver
48,47,80,Gold
49,37,175,Bronze
50,13,97,Gold
51,88,181,Silver
52,68,149,Bronze
53,98,146,Bronze
54,74,29,Silver
55,65,22,Gold
56,58,132,Silver
57,100,53,Gold
58,25,136,Silver
59,5,35,Bronze
60,44,42,Bronze
61,10,60,Gold
62,94,5,Bronze
63,3,58,Bronze
64,31,154,Bronze
65,30,85,Bronze
66,42,184,Gold
67,11,41,Bronze
68,32,27,Silver
69,92,45,Gold
70,68,80,Gold
71,47,199,Gold
72,70,146,Gold
73,41,132,Bronze
74,45,104,Bronze
75,19,193,Silver
76,46,80,Silver
77,88,119,Silver
78,92,159,Bronze
79,52,32,Gold
80,36,39,Silver
81,86,125,Silver
82,37,148,Gold
83,12,63,Gold
84,63,7,Bronze
85,11,134,Silver
86,22,192,Gold
87,43,194,Bronze
88,15,105,Bronze
89,64,144,Silver
90,76,178,Bronze
91,9,109,Silver
92,85,19,Bronze
93,90,79,Bronze
94,73,109,Bronze
95,14,130,Gold
96,18,52,Silver
97,42,162,Gold
98,17,101,Silver
99,19,184,Gold
100,17,168,Silver
101,34,163,Bronze
102,6,147,Bronze
103,69,4,Silver
104,76,30,Bronze
105,8,142,Bronze
106,52,162,Gold
107,47,99,Silver
108,59,67,Bronze
109,44,62,Silver
110,67,96,Gold
111,51,46,Bronze
112,28,14,Gold
113,27,83,Gold
114,90,145,Gold
115,34,35,Silver
116,77,87,Bronze
117,59,6,Silver
118,78,21,Bronze
119,9,173,Gold
120,69,137,Bronze
121,89,71,Silver
122,36,129,Bronze
123,71,80,Gold
124,8,187,Bronze
125,34,174,Bronze
126,77,77,Gold
127,48,76,Gold
128,18,144,Bronze
129,64,85,Gold
130,69,25,Bronze
131,96,142,Silver
132,85,130,Gold
133,54,116,Silver
134,67,130,Silver
135,83,55,Bronze
136,26,73,Gold
137,87,88,Gold
138,51,85,Gold
139,89,185,Bronze
140,40,34,Silver
141,7,85,Silver
142,76,196,Silver
143,7,166,Silver
144,9,77,Bronze
145,65,42,Gold
146,88,178,Silver
147,41,10,Bronze
148,6,50,Gold
149,95,53,Silver
150,52,144,Silver
151,59,78,Bronze
152,60,81,Gold
153,88,101,Bronze
154,19,92,Bronze
155,86,18,Bronze
156,46,186,Gold
157,19,30,Bronze
158,88,111,Gold
159,48,83,Silver
160,53,155,Silver
161,100,189,Gold
162,100,14,Silver
163,20,48,Silver
164,91,42,Gold
165,13,33,Gold
166,33,42,Silver
167,91,32,Silver
168,39,32,Bronze
169,38,73,Silver
170,85,114,Bronze
171,52,171,Bronze
172,34,174,Silver
173,7,98,Silver
174,29,69,Gold
175,90,98,Bronze
176,70,187,Bronze
177,18,128,Bronze
178,57,29,Bronze
179,40,186,Gold
180,45,37,Gold
181,37,147,Bronze
182,11,36,Bronze
183,29,87,Gold
184,95,31,Gold
185,23,47,Gold
186,41,16,Bronze
187,86,86,Silver
188,5,75,Gold
189,17,133,Bronze
190,57,158,Gold
191,13,28,Bronze
192,49,134,Silver
193,9,60,Bronze
194,18,66,Gold
195,5,179,Gold
196,85,118,Gold
197,3,9,Bronze
198,41,176,Silver
199,30,20,Silver
200,21,1,Bronze
201,89,187,Gold
202,86,130,Silver
203,20,112,Gold
204,78,160,Gold
205,17,72,Bronze
206,55,11,Silver
207,78,183,Gold
208,2,123,Silver
209,94,19,Gold
210,75,133,Bronze
211,84,93,Gold
212,25,165,Gold
213,72,31,Gold
214,91,31,Silver
215,54,71,Silver
